customer_id,signup_date,plan,mrr,churn_date,is_active
1,2021-02-01,Plus,19.99,2025-07-01,False
2,2021-03-01,Plus,19.99,2025-05-01,False
3,2021-07-01,Basic,9.99,2022-09-01,False
4,2021-10-01,Plus,19.99,2023-04-01,False
5,2021-06-01,Basic,9.99,2021-07-01,False
6,2021-09-01,Plus,19.99,2022-04-01,False
7,2022-08-01,Pro,39.99,,True
8,2024-04-01,Pro,39.99,,True
9,2021-05-01,Plus,19.99,2026-06-01,False
10,2026-05-01,Basic,9.99,,True
11,2023-01-01,Plus,19.99,2025-04-01,False
12,2022-01-01,Basic,9.99,2023-01-01,False
13,2021-09-01,Plus,19.99,2023-04-01,False
14,2021-08-01,Basic,9.99,,True
15,2023-02-01,Plus,19.99,,True
16,2021-03-01,Basic,9.99,2023-03-01,False
17,2022-11-01,Basic,9.99,2023-02-01,False
18,2021-06-01,Basic,9.99,2022-03-01,False
19,2024-08-01,Pro,39.99,,True
20,2022-05-01,Basic,9.99,2023-01-01,False
21,2021-02-01,Basic,9.99,2024-11-01,False
22,2021-09-01,Basic,9.99,2022-04-01,False
23,2022-07-01,Basic,9.99,2023-03-01,False
24,2021-06-01,Plus,19.99,2023-04-01,False
25,2025-05-01,Plus,19.99,,True
26,2022-08-01,Pro,39.99,2024-03-01,False
27,2021-12-01,Basic,9.99,,True
28,2022-05-01,Plus,19.99,,True
29,2021-04-01,Basic,9.99,2021-07-01,False
30,2022-08-01,Plus,19.99,2024-08-01,False
31,2021-11-01,Plus,19.99,,True
32,2021-08-01,Basic,9.99,,True
33,2023-11-01,Plus,19.99,,True
34,2021-10-01,Basic,9.99,2022-05-01,False
35,2023-01-01,Plus,19.99,2023-02-01,False
36,2021-02-01,Plus,19.99,,True
37,2022-09-01,Basic,9.99,2025-05-01,False
38,2021-02-01,Basic,9.99,2021-03-01,False
39,2021-04-01,Basic,9.99,2022-04-01,False
40,2022-01-01,Plus,19.99,,True
41,2023-06-01,Plus,19.99,2024-07-01,False
42,2022-07-01,Plus,19.99,,True
43,2022-02-01,Basic,9.99,2025-06-01,False
44,2023-11-01,Basic,9.99,,True
45,2021-09-01,Plus,19.99,2022-01-01,False
46,2021-03-01,Basic,9.99,2021-05-01,False
47,2021-10-01,Basic,9.99,2022-12-01,False
48,2021-03-01,Plus,19.99,2021-06-01,False
49,2021-10-01,Basic,9.99,2023-07-01,False
50,2022-02-01,Basic,9.99,2022-08-01,False
51,2021-04-01,Basic,9.99,2022-06-01,False
52,2022-09-01,Basic,9.99,2023-06-01,False
53,2022-01-01,Basic,9.99,2022-12-01,False
54,2022-03-01,Basic,9.99,2022-04-01,False
55,2021-06-01,Plus,19.99,2022-07-01,False
56,2023-03-01,Basic,9.99,2026-03-01,False
57,2021-05-01,Basic,9.99,,True
58,2021-06-01,Plus,19.99,2025-08-01,False
59,2021-03-01,Basic,9.99,2022-09-01,False
60,2021-05-01,Plus,19.99,2025-01-01,False
61,2022-02-01,Pro,39.99,,True
62,2021-04-01,Basic,9.99,2025-01-01,False
63,2021-07-01,Basic,9.99,2023-04-01,False
64,2022-06-01,Plus,19.99,,True
65,2021-10-01,Plus,19.99,,True
66,2021-04-01,Basic,9.99,2023-09-01,False
67,2021-11-01,Basic,9.99,2022-04-01,False
68,2022-11-01,Basic,9.99,2023-08-01,False
69,2021-10-01,Pro,39.99,,True
70,2021-09-01,Basic,9.99,2021-09-01,False
71,2021-02-01,Basic,9.99,2021-07-01,False
72,2022-02-01,Basic,9.99,2023-05-01,False
73,2021-09-01,Plus,19.99,,True
74,2021-11-01,Basic,9.99,2022-05-01,False
75,2022-03-01,Basic,9.99,2023-09-01,False
76,2023-05-01,Basic,9.99,2024-03-01,False
77,2021-02-01,Basic,9.99,2021-12-01,False
78,2021-03-01,Basic,9.99,2025-10-01,False
79,2021-06-01,Basic,9.99,2023-03-01,False
80,2021-02-01,Basic,9.99,,True
81,2022-11-01,Plus,19.99,2024-08-01,False
82,2021-12-01,Plus,19.99,,True
83,2021-05-01,Basic,9.99,2023-03-01,False
84,2021-04-01,Plus,19.99,2021-11-01,False
85,2022-07-01,Basic,9.99,2023-03-01,False
86,2021-09-01,Plus,19.99,2022-04-01,False
87,2021-09-01,Basic,9.99,2024-03-01,False
88,2023-02-01,Basic,9.99,2023-03-01,False
89,2021-07-01,Plus,19.99,,True
90,2021-03-01,Pro,39.99,2021-12-01,False
91,2022-06-01,Basic,9.99,,True
92,2021-02-01,Plus,19.99,,True
93,2024-01-01,Pro,39.99,,True
94,2021-03-01,Basic,9.99,,True
95,2022-10-01,Basic,9.99,,True
96,2021-08-01,Basic,9.99,2022-02-01,False
97,2021-03-01,Basic,9.99,2024-03-01,False
98,2021-12-01,Pro,39.99,2021-12-01,False
99,2021-03-01,Basic,9.99,2022-01-01,False
100,2024-04-01,Basic,9.99,,True
101,2021-06-01,Plus,19.99,2022-05-01,False
102,2021-11-01,Plus,19.99,2025-11-01,False
103,2024-06-01,Basic,9.99,,True
104,2021-06-01,Basic,9.99,2023-01-01,False
105,2021-04-01,Plus,19.99,,True
106,2021-09-01,Plus,19.99,2022-02-01,False
107,2022-06-01,Basic,9.99,2025-02-01,False
108,2021-04-01,Plus,19.99,,True
109,2021-06-01,Plus,19.99,2021-06-01,False
110,2021-02-01,Plus,19.99,2021-10-01,False
111,2022-11-01,Plus,19.99,2024-09-01,False
112,2022-01-01,Plus,19.99,2023-10-01,False
113,2021-05-01,Plus,19.99,2025-11-01,False
114,2021-02-01,Basic,9.99,2021-05-01,False
115,2021-06-01,Plus,19.99,2021-07-01,False
116,2021-04-01,Basic,9.99,2022-09-01,False
117,2022-03-01,Basic,9.99,,True
118,2021-11-01,Basic,9.99,2022-10-01,False
119,2021-11-01,Basic,9.99,2024-09-01,False
120,2024-01-01,Plus,19.99,,True
121,2022-08-01,Basic,9.99,2022-10-01,False
122,2021-09-01,Pro,39.99,2021-10-01,False
123,2022-01-01,Plus,19.99,,True
124,2021-12-01,Basic,9.99,2022-06-01,False
125,2021-09-01,Basic,9.99,2023-02-01,False
126,2022-11-01,Pro,39.99,2025-01-01,False
127,2021-05-01,Plus,19.99,,True
128,2021-10-01,Basic,9.99,2026-04-01,False
129,2024-12-01,Basic,9.99,2025-01-01,False
130,2021-09-01,Plus,19.99,2022-11-01,False
131,2022-04-01,Plus,19.99,2023-04-01,False
132,2021-12-01,Basic,9.99,2023-01-01,False
133,2021-06-01,Basic,9.99,2021-10-01,False
134,2022-09-01,Plus,19.99,2023-08-01,False
135,2023-06-01,Pro,39.99,2024-01-01,False
136,2021-05-01,Pro,39.99,2023-03-01,False
137,2021-06-01,Pro,39.99,,True
138,2021-02-01,Pro,39.99,2021-04-01,False
139,2023-04-01,Plus,19.99,2024-02-01,False
140,2022-04-01,Basic,9.99,,True
141,2021-02-01,Basic,9.99,2022-02-01,False
142,2022-07-01,Pro,39.99,,True
143,2021-04-01,Basic,9.99,2022-08-01,False
144,2021-10-01,Plus,19.99,2022-08-01,False
145,2021-04-01,Plus,19.99,2024-07-01,False
